epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21218,1.74537,4.20795,1.74135,0.08793,0.19401,0.06004,0.02724,1.30645,3.52109,1.52689,8.574e-05,8.574e-05,8.574e-05
2,3.74213,1.12478,2.41963,1.36403,0.60336,0.67581,0.62569,0.51112,0.65496,1.82889,1.02492,0.00018485,0.00018485,0.00018485
3,5.30625,0.76401,1.50937,1.09421,0.66077,0.88892,0.83503,0.64362,0.68745,1.32142,0.95597,0.000282971,0.000282971,0.000282971
4,6.8395,0.74383,1.29373,1.04714,0.794,0.66636,0.75344,0.58873,0.67428,1.56009,0.97889,0.0003801,0.0003801,0.0003801
5,8.461,0.72631,1.03516,1.05181,0.89992,0.70339,0.87677,0.70597,0.64706,1.11922,1.01026,0.00047624,0.00047624,0.00047624
6,9.95866,0.71425,0.85924,1.0122,0.8525,0.86247,0.92116,0.73684,0.63852,0.85109,0.99992,0.000571389,0.000571389,0.000571389
7,11.3896,0.61441,0.75276,0.95829,0.9318,0.85228,0.96707,0.83837,0.57799,0.95181,0.93676,0.000665548,0.000665548,0.000665548
8,12.8255,0.69474,0.80973,1.02325,0.7818,0.86219,0.91848,0.75104,0.6555,1.28494,1.02197,0.000758717,0.000758717,0.000758717
9,14.1937,0.6677,0.74504,0.99996,0.67694,0.84489,0.84781,0.65511,0.6781,2.62293,1.03188,0.000850895,0.000850895,0.000850895
10,15.6243,0.67443,0.66624,0.98018,0.48008,0.75576,0.58954,0.40703,0.84103,1.32341,1.24379,0.000942083,0.000942083,0.000942083
11,16.9808,0.71961,0.73065,1.02604,0.44852,0.63208,0.49845,0.35754,0.96649,2.56598,1.25575,0.00103228,0.00103228,0.00103228
12,18.3678,0.70661,0.71337,0.99626,0.56493,0.65776,0.55914,0.44931,0.82178,3.34383,1.16598,0.00112149,0.00112149,0.00112149
13,19.7254,0.72042,0.68433,1.02544,0.63806,0.76402,0.66747,0.54421,0.74856,3.04924,1.18462,0.00120971,0.00120971,0.00120971
14,21.1251,0.69122,0.66947,1.02105,0.74496,0.71642,0.76892,0.59705,0.81177,2.13219,1.17869,0.00129693,0.00129693,0.00129693
15,22.5274,0.66527,0.69601,1.02147,0.65333,0.77806,0.68184,0.50436,0.89213,1.4034,1.47356,0.00132997,0.00132997,0.00132997
16,23.8775,0.70876,0.75563,1.01562,0.69495,0.74493,0.76481,0.52243,0.87733,2.03913,1.44472,0.0013229,0.0013229,0.0013229
17,25.4391,0.64944,0.6259,0.98058,0.63489,0.77133,0.77193,0.63531,0.70667,2.5395,1.10013,0.00131582,0.00131582,0.00131582
18,26.8052,0.64014,0.5806,0.99596,0.72708,0.85196,0.80172,0.53768,1.00215,2.56138,1.52917,0.00130875,0.00130875,0.00130875
19,28.1603,0.65271,0.5903,0.9909,0.74534,0.76166,0.81014,0.68306,0.64839,1.65023,1.05274,0.00130168,0.00130168,0.00130168
20,29.5086,0.63226,0.54411,0.98988,0.75012,0.77417,0.88371,0.71495,0.631,1.9067,1.1195,0.0012946,0.0012946,0.0012946
21,30.8791,0.66659,0.58576,1.00707,0.83008,0.61033,0.86449,0.67022,0.7151,1.16308,1.06235,0.00128753,0.00128753,0.00128753
22,32.2343,0.70777,0.56414,1.03728,0.85277,0.67432,0.95075,0.80796,0.6454,1.09675,1.00879,0.00128046,0.00128046,0.00128046
23,33.5847,0.62442,0.55843,0.96758,0.71697,0.7985,0.91992,0.77613,0.6237,1.11811,0.98694,0.00127338,0.00127338,0.00127338
24,34.9679,0.61461,0.54447,0.9748,0.83907,0.84772,0.97264,0.85058,0.5367,0.8506,0.92895,0.00126631,0.00126631,0.00126631
25,36.4095,0.58665,0.55458,0.9735,0.88212,0.92476,0.97338,0.87209,0.48791,0.5864,0.90554,0.00125923,0.00125923,0.00125923
26,38.0398,0.61069,0.5167,0.98806,0.94183,0.76299,0.84711,0.71816,0.5753,0.57521,0.96565,0.00125216,0.00125216,0.00125216
27,39.4451,0.57615,0.49679,0.96097,0.88254,0.72686,0.81655,0.67195,0.65694,0.71927,1.03309,0.00124509,0.00124509,0.00124509
28,40.8333,0.59266,0.5288,0.98189,0.67865,0.79856,0.75656,0.6442,0.65268,0.76043,1.10493,0.00123801,0.00123801,0.00123801
29,42.187,0.60316,0.5137,0.97763,0.78843,0.75301,0.76124,0.62823,0.72022,0.68306,1.24354,0.00123094,0.00123094,0.00123094
30,43.5595,0.59311,0.52865,0.95683,0.92081,0.98246,0.97555,0.84336,0.51788,0.49703,0.91411,0.00122387,0.00122387,0.00122387
31,44.9747,0.57979,0.46951,0.9395,0.799,0.91408,0.90412,0.77991,0.56593,0.68029,0.92973,0.00121679,0.00121679,0.00121679
32,46.3272,0.58005,0.50228,0.96968,0.94334,0.91406,0.91504,0.67372,0.75994,0.60056,1.313,0.00120972,0.00120972,0.00120972
33,47.7091,0.58305,0.53062,0.9607,0.58532,0.71494,0.6612,0.57047,0.75931,0.7824,1.24066,0.00120265,0.00120265,0.00120265
34,49.0564,0.58452,0.49863,0.94791,0.74559,0.86581,0.81555,0.63513,0.72752,0.77229,1.19155,0.00119557,0.00119557,0.00119557
35,50.4066,0.62093,0.50111,0.98607,0.9137,0.95024,0.95457,0.84033,0.53977,0.46167,0.92843,0.0011885,0.0011885,0.0011885
36,51.9703,0.57134,0.43836,0.95638,0.84322,0.90609,0.92381,0.82868,0.49471,0.55658,0.89102,0.00118143,0.00118143,0.00118143
